eprintid	eprint_status	created
3	deletion	2003-05-30
4	deletion	2003-05-30
5	deletion	2003-05-30
6	deletion	2003-05-30
7	deletion	2003-05-30
14	deletion	2003-06-10
16	deletion	2003-06-02
17	deletion	2003-06-02
19	deletion	2003-06-10
20	deletion	2003-06-02
21	inbox	NULL
26	deletion	2003-06-10
27	deletion	2003-06-10
29	deletion	2003-06-26
32	inbox	NULL
34	archive	2003-07-24
35	archive	2003-07-22
40	archive	2003-07-24
43	archive	2003-08-11
44	archive	2003-08-11
45	deletion	2006-06-23
46	archive	2003-08-11
47	archive	2003-08-11
48	archive	2003-08-11
49	archive	2003-08-11
50	deletion	2006-06-23
51	archive	2003-08-11
52	archive	2003-08-11
53	archive	2003-08-11
58	inbox	NULL
59	inbox	NULL
60	inbox	NULL
61	inbox	NULL
62	inbox	NULL
63	inbox	NULL
64	inbox	NULL
74	archive	2005-08-24
75	archive	2005-08-25
76	archive	2005-08-24
78	deletion	2006-06-23
79	archive	2005-07-15
80	archive	2005-07-19
81	archive	2005-08-25
82	archive	2005-07-19
83	archive	2005-07-19
84	archive	2005-08-24
85	archive	2005-07-19
86	archive	2005-07-19
87	archive	2005-08-24
88	archive	2005-08-24
89	archive	2005-08-24
90	archive	2005-08-25
91	archive	2005-07-19
92	archive	2005-07-20
93	archive	2005-08-25
94	archive	2005-07-20
95	archive	2005-08-25
96	archive	2005-07-20
97	archive	2005-07-20
98	archive	2005-07-20
99	archive	2005-07-20
100	archive	2005-07-20
101	archive	2005-07-20
102	archive	2005-07-20
103	archive	2005-07-20
104	archive	2005-07-20
105	archive	2005-07-20
106	archive	2005-07-20
107	archive	2005-07-20
108	archive	2005-07-20
109	archive	2005-07-20
110	archive	2005-07-20
111	archive	2005-07-20
112	archive	2005-07-20
113	archive	2005-07-20
114	archive	2005-08-25
115	archive	2005-07-21
116	archive	2005-08-25
117	archive	2005-07-21
118	archive	2005-08-25
119	archive	2005-07-21
120	archive	2005-08-25
