eprintid	eprint_status	created
1	deletion	2002-10-16
2	deletion	2002-10-17
5	deletion	2002-10-17
6	deletion	2002-10-17
15	archive	2002-10-21
16	archive	2002-10-21
17	archive	2002-10-22
18	archive	2002-10-22
19	archive	2007-09-17
21	archive	2002-10-25
22	archive	2002-10-29
23	archive	2002-11-01
24	archive	2002-11-05
25	archive	2002-11-18
26	archive	2002-11-19
27	archive	2008-07-21
28	deletion	2002-12-11
29	archive	2002-12-05
30	archive	2002-12-05
31	deletion	2003-01-06
32	archive	2002-12-12
33	archive	2002-12-19
34	archive	2003-01-06
36	deletion	2003-04-14
37	deletion	2003-04-14
38	deletion	2003-04-14
39	archive	2009-09-15
41	deletion	2003-04-14
42	archive	2003-04-14
43	archive	2003-04-17
44	deletion	2003-04-21
45	deletion	2003-04-21
46	deletion	2003-05-06
47	deletion	2003-05-07
49	archive	2003-05-07
50	archive	2003-05-13
51	archive	2003-05-16
52	deletion	2003-06-17
54	archive	2003-06-17
59	deletion	2003-11-12
64	deletion	2003-11-17
66	archive	2003-11-17
68	archive	2003-11-24
69	archive	2003-12-12
70	archive	2003-12-19
71	deletion	2004-01-30
72	deletion	2004-02-04
73	archive	2010-12-23
77	archive	2004-08-02
78	archive	2004-09-27
80	inbox	NULL
86	archive	2004-10-14
87	archive	2004-10-15
89	archive	2004-10-15
90	archive	2004-10-21
91	archive	2004-10-27
92	archive	2004-12-02
93	archive	2005-01-06
94	archive	2005-07-07
95	archive	2008-04-28
96	archive	2005-01-07
97	archive	2005-01-20
98	archive	2005-02-23
99	archive	2005-02-24
100	archive	2009-04-03
101	archive	2005-03-11
102	archive	2005-03-10
103	archive	2005-03-14
105	archive	2005-05-05
106	archive	2005-05-16
107	archive	2005-06-08
108	archive	2005-06-23
109	archive	2005-09-12
110	inbox	NULL
111	archive	2005-10-18
112	archive	2005-10-20
113	inbox	NULL
115	archive	2006-01-10
116	archive	2006-01-12
117	archive	2006-03-13
118	archive	2006-03-22
120	archive	2006-08-28
121	archive	2006-08-31
122	archive	2006-09-07
123	archive	2006-11-27
124	archive	2006-12-20
125	archive	2007-05-07
127	archive	2007-06-07
128	archive	2008-07-08
129	archive	2007-06-12
131	archive	2007-07-30
132	archive	2007-08-15
133	archive	2007-08-15
134	archive	2007-09-07
135	archive	2007-09-13
136	archive	2007-09-21
137	archive	2008-05-27
138	archive	2007-09-21
139	archive	2007-09-27
141	archive	2007-11-15
142	archive	2007-12-13
144	archive	2008-02-07
145	inbox	NULL
146	archive	2008-04-28
148	inbox	NULL
149	archive	2008-07-08
150	archive	2008-07-08
151	archive	2008-07-21
152	archive	2008-07-18
153	archive	2008-07-21
154	archive	2008-08-22
155	archive	2008-08-25
156	archive	2008-08-25
157	archive	2008-08-22
158	archive	2008-08-22
159	archive	2008-10-15
161	archive	2008-10-22
163	archive	2010-01-14
167	inbox	NULL
168	archive	2010-11-09
169	archive	2010-11-12
170	archive	2010-11-12
171	archive	2010-12-07
173	archive	2010-11-23
174	archive	2010-12-02
175	archive	2010-12-01
176	archive	2011-03-01
178	archive	2011-05-24
179	archive	2011-05-24
180	archive	2011-05-24
181	archive	2011-05-24
182	archive	2011-05-24
183	archive	2011-05-24
184	archive	2011-06-30
191	archive	2011-11-22
193	archive	2011-11-22
194	archive	2011-11-22
195	buffer	2011-11-21
196	archive	2011-12-07
197	archive	2011-12-12
198	archive	2012-03-19
199	archive	2012-03-28
200	archive	2012-04-25
201	archive	2012-09-21
202	archive	2012-09-21
203	archive	2012-09-21
