eprintid	eprint_status	created
1	archive	2004-01-27
2	archive	2007-01-09
3	archive	2007-01-09
4	archive	2007-01-09
5	archive	2009-02-05
6	archive	2005-01-05
7	archive	2005-01-05
8	archive	2005-01-05
9	archive	2005-01-14
10	archive	2005-01-05
11	archive	2006-01-03
12	archive	2007-01-03
13	archive	2007-01-03
14	archive	2007-02-12
15	archive	2008-01-10
16	archive	2008-01-24
17	archive	2008-01-24
18	archive	2008-01-24
19	archive	2008-01-15
20	archive	2004-01-05
21	archive	2005-01-05
22	archive	2006-01-05
23	archive	2006-01-04
24	archive	2006-01-04
25	archive	2007-01-04
26	archive	2008-01-24
27	archive	2008-01-24
28	archive	2008-01-24
29	archive	2008-01-10
30	archive	2008-01-24
31	archive	2005-01-05
32	archive	2005-01-05
33	archive	2006-01-05
34	archive	2006-01-05
35	archive	2007-01-05
36	archive	2007-02-22
37	archive	2007-01-05
38	archive	2003-01-06
39	archive	2004-01-07
40	archive	2004-01-07
41	archive	2009-03-16
42	archive	2009-01-23
43	archive	2004-01-08
44	archive	2004-01-08
45	archive	2004-01-08
46	archive	2004-01-08
47	archive	2004-01-08
48	archive	2004-01-08
49	archive	2004-01-08
50	archive	2004-01-12
51	archive	2004-01-08
52	archive	2005-01-07
53	archive	2005-01-10
54	archive	2008-01-24
55	archive	2008-01-24
56	archive	2008-01-24
57	archive	2008-01-24
58	archive	2008-01-25
59	archive	2008-01-25
60	archive	2008-01-11
61	archive	2002-01-29
62	archive	2004-01-12
63	archive	2004-01-12
64	archive	2007-05-23
65	archive	2007-01-11
66	archive	2007-01-09
67	archive	2008-01-25
68	archive	2008-01-10
69	archive	2008-01-10
70	archive	2008-01-09
71	archive	2008-01-10
72	archive	2009-01-08
73	archive	2002-01-17
74	archive	2004-01-12
75	archive	2004-01-12
76	archive	2004-01-12
77	archive	2004-01-12
78	archive	2004-01-12
79	archive	2006-01-10
80	archive	2006-01-10
81	archive	2006-01-10
82	archive	2006-01-10
83	archive	2006-01-10
84	archive	2007-01-09
85	archive	2007-01-09
86	archive	2007-01-11
87	archive	2007-01-09
88	archive	2008-01-25
89	archive	2008-01-25
90	archive	2008-01-25
91	archive	2008-01-25
92	archive	2008-01-25
93	archive	2008-01-25
94	archive	2008-01-25
95	archive	2008-01-09
96	archive	2008-01-09
97	archive	2003-01-13
98	archive	2003-01-13
99	archive	2005-01-14
100	archive	2006-01-12
101	archive	2006-01-12
102	archive	2006-01-12
103	archive	2006-01-12
104	archive	2007-01-11
105	archive	2007-01-10
106	archive	2008-01-23
107	archive	2008-01-23
108	archive	2008-01-25
109	archive	2008-01-24
110	archive	2008-01-23
111	archive	2008-01-24
112	archive	2008-01-24
113	archive	2008-01-24
114	archive	2008-01-25
115	archive	2008-01-28
116	archive	2008-01-11
117	archive	2008-01-11
118	archive	2008-01-11
119	archive	2008-01-11
120	archive	2002-01-17
121	archive	2005-01-14
122	archive	2005-01-14
123	archive	2006-01-12
124	archive	2006-01-12
125	archive	2006-01-11
126	archive	2007-01-16
127	archive	2007-01-16
128	archive	2007-01-24
129	archive	2004-01-12
130	archive	2004-01-12
131	archive	2004-01-12
132	archive	2004-01-12
133	archive	2004-01-12
134	archive	2004-01-12
135	archive	2004-01-12
136	archive	2004-01-12
